GEO_ID,GEO_FIPS,NAME,S0601_C01_001E,S0601_C01_001M,S0601_C01_013E,S0601_C01_013M,S0601_C01_014E,S0601_C01_014M,S0601_C01_015E,S0601_C01_015M,S0601_C01_016E,S0601_C01_016M,S0601_C01_017E,S0601_C01_017M,S0601_C01_018E,S0601_C01_018M,S0601_C01_019E,S0601_C01_019M,S0601_C01_020E,S0601_C01_020M,S0601_C01_021E,S0601_C01_021M,S0601_C01_022E,S0601_C01_022M,S0601_C01_052E,S0601_C01_052M
1400000U,06037572301,Census Tract 5723.01; Los Angeles County; California,3809,527,87.5,5.1,30,9.6,6.1,5,0.6,1,15.1,4.5,1.5,1.3,34.1,9.8,12.5,5.1,67.7,7.8,7.5,4.8,22.8,(X)
1400000U,06037572500,Census Tract 5725; Los Angeles County; California,3700,749,88.7,6.1,29.5,9.5,13.7,7.7,0.7,1.3,25.4,13.7,0,1.1,19.3,8.3,11.3,6.1,41.1,12.5,16.3,6.6,10.4,(X)
1400000U,06037572600,Census Tract 5726; Los Angeles County; California,5005,670,86.8,5.8,27.8,10.2,5.9,3.6,0.5,0.8,38.2,9.5,2.5,2.1,11.9,7.4,13.2,5.8,47.8,10.3,2.5,1.3,19.9,(X)
1400000U,06037572700,Census Tract 5727; Los Angeles County; California,5290,539,97.7,2.3,24.6,9,4.1,2.7,0,0.8,50.6,7.7,5.2,4.1,13.2,5.6,2.3,2.3,35.5,7.8,2.4,2,15.2,(X)
1400000U,06037573002,Census Tract 5730.02; Los Angeles County; California,3288,454,82.9,13.2,29.5,12.4,15.4,9.1,0,1.3,8.1,5.7,0,1.3,29.9,12.8,17.1,13.2,69.1,7.9,5,4.2,11.7,(X)
1400000U,06037573003,Census Tract 5730.03; Los Angeles County; California,1723,253,85.3,6.5,27,8.5,14.8,9.4,0.5,0.7,18.1,8.4,0,2.4,24.9,10.3,14.7,6.5,38,11.9,18.1,5.3,8.3,(X)
1400000U,06037573004,Census Tract 5730.04; Los Angeles County; California,4878,1026,87.1,6.2,42.3,14.4,19.7,8.6,3.3,3.2,5.3,4,0,0.9,16.5,7.4,12.9,6.2,64,10.1,8.5,3.9,7.5,(X)
1400000U,06037573101,Census Tract 5731.01; Los Angeles County; California,4531,823,75.5,13.2,36,12.6,18.7,13.5,0.4,0.5,13,5.4,0,0.9,7.4,4.9,24.5,13.2,52.4,9.6,9.1,4.8,11.8,(X)
1400000U,06037573102,Census Tract 5731.02; Los Angeles County; California,2891,562,89.5,8.8,36.3,15.2,16.7,6.5,1.3,2.1,14.4,7.9,0,1.5,20.8,9,10.5,8.8,49.7,10.8,16.2,5.8,23.1,(X)
1400000U,06037573201,Census Tract 5732.01; Los Angeles County; California,3844,678,91.1,5.3,35.8,12.4,10.4,4.3,1.7,2.6,17.1,5.7,0,1.1,25.9,10.7,8.9,5.3,68.2,8.3,6.3,3,8.7,(X)
1400000U,06037573202,Census Tract 5732.02; Los Angeles County; California,6678,1286,84.7,7.5,18.9,8.7,13.3,4.6,0.5,0.8,25.5,11.8,0,0.6,26.5,13,15.3,7.5,52.4,10.8,5.7,3.2,20.1,(X)
1400000U,06037573300,Census Tract 5733; Los Angeles County; California,3840,602,88.1,9.2,28.5,11.4,14.2,6.5,0,1.1,24.1,7.4,0,1.1,21.4,8.8,11.9,9.2,55.2,8.3,2.9,2.1,11,(X)
1400000U,06037573401,Census Tract 5734.01; Los Angeles County; California,1505,321,83.2,9.7,36.7,12.5,7.6,9,0.3,0.5,18.5,6.6,1.6,2.3,18.5,9.3,16.8,9.7,41.3,8.6,26.8,10,5.4,(X)
1400000U,06037573402,Census Tract 5734.02; Los Angeles County; California,7000,817,86.5,7.3,46.1,10.8,6,3.8,0,0.6,22.2,8.1,1.1,1.7,11,4.7,13.5,7.3,43.9,15,22.6,8.8,9.3,(X)
1400000U,06037573403,Census Tract 5734.03; Los Angeles County; California,3058,631,85.7,9,37.5,10,10.4,5.2,1.2,1.3,33.1,6.7,0,1.4,3.4,2.5,14.3,9,22.2,7,30.8,7.9,6.8,(X)
1400000U,06037573601,Census Tract 5736.01; Los Angeles County; California,6353,657,84.8,4.9,68.3,7.7,1.3,1.6,0.5,0.6,10.1,6.8,0,0.7,4.6,3.3,15.2,4.9,23.7,5.3,60,6.4,5.7,(X)
1400000U,06037573700,Census Tract 5737; Los Angeles County; California,5423,576,83.8,6,60,7.5,3.2,2.5,0,0.8,12,5.7,0,0.8,8.5,4,16.2,6,37.3,6.2,43.3,5.2,14.8,(X)
1400000U,06037573800,Census Tract 5738; Los Angeles County; California,4155,445,78.5,6.5,59.3,8.6,2.1,2.2,0,1,8,4.2,1.6,1.7,7.4,3.5,21.5,6.5,25.8,5,53.9,7,13,(X)
1400000U,06037573902,Census Tract 5739.02; Los Angeles County; California,2212,206,86.3,6.3,65.3,8.2,2.4,1.9,0,1.9,15.9,4.7,0,1.9,2.7,2.7,13.7,6.3,18.4,6.6,60.2,8.2,6.6,(X)
1400000U,06037574000,Census Tract 5740; Los Angeles County; California,5108,481,87.4,3.5,65.3,6,4.6,4.1,0,0.8,12.6,2.5,0,0.8,4.8,4.4,12.6,3.5,19,5.4,59.1,6.2,9.8,(X)
1400000U,06037574100,Census Tract 5741; Los Angeles County; California,5151,652,86.4,4.5,60.2,8.5,6.8,4.8,3.1,3.9,12.4,4,0.2,0.3,3.8,3.3,13.6,4.5,24.2,5.1,46.6,7.1,3.9,(X)
1400000U,06037574201,Census Tract 5742.01; Los Angeles County; California,3265,394,80.3,8.8,52.8,10.5,14.2,9,0.2,0.4,10.9,5.4,0,1.3,2.2,2,19.7,8.8,16.8,7.3,45.4,8,5.5,(X)
1400000U,06037574202,Census Tract 5742.02; Los Angeles County; California,2229,298,89.1,4.1,59.3,9.4,8.2,3.5,1.2,0.9,11.9,8.1,0,1.9,8.6,4.4,10.9,4.1,35.2,7.7,41.3,8.6,4.7,(X)
1400000U,06037574300,Census Tract 5743; Los Angeles County; California,6677,1091,90.4,4.4,75.9,7.1,4.2,3.6,0.2,0.4,7.1,3.3,0,0.6,3,2.1,9.6,4.4,29.8,9.2,54.6,8.6,7.2,(X)
1400000U,06037574400,Census Tract 5744; Los Angeles County; California,5555,694,91.4,3.3,76.2,6.8,1.9,2.1,0.5,0.7,9.2,4.6,1.3,2.5,2.3,1.8,8.6,3.3,18.2,3,64.5,6.8,6.6,(X)
1400000U,06037574500,Census Tract 5745; Los Angeles County; California,6744,763,91.1,4.2,68.5,9.3,4.4,4.1,2.6,3,10.6,5.6,0.3,0.5,4.7,3.2,8.9,4.2,20.2,5,59.7,7.3,11.4,(X)
1400000U,06037574602,Census Tract 5746.02; Los Angeles County; California,1267,210,93.7,4.1,63.1,11.1,7.3,5.3,0,3.3,22.1,7.9,0,3.3,1.1,1.1,6.3,4.1,15.5,8.1,51.1,10.6,9.6,(X)
1400000U,06037574800,Census Tract 5748; Los Angeles County; California,3182,406,82.6,6.7,66.5,7.2,5.1,3.8,0,1.3,8.3,3.7,0,1.3,2.8,1.7,17.4,6.7,17.8,7.8,62.8,8,5.2,(X)
1400000U,06037574901,Census Tract 5749.01; Los Angeles County; California,3949,517,85.1,5,63.4,6.1,2.1,1.7,1.4,1.3,10.8,4.1,0,1.1,7.4,6.7,14.9,5,21.4,6.5,57.6,5.4,9,(X)
1400000U,06037574902,Census Tract 5749.02; Los Angeles County; California,5507,546,94.6,2.4,46.9,7.4,14.5,5.8,0,0.8,22.2,7,1.9,2,9.1,5.5,5.4,2.4,28.4,7.2,31.9,5.5,3.3,(X)
1400000U,06037575001,Census Tract 5750.01; Los Angeles County; California,4225,771,90.7,4.3,48.1,11.5,12.9,5.8,0.2,0.3,22.3,6.6,0,1,7.2,5.5,9.3,4.3,34.7,11.5,25.5,6.5,10.2,(X)
1400000U,06037575002,Census Tract 5750.02; Los Angeles County; California,4554,445,90.5,3.3,53.7,6.4,12.9,4.5,0.3,0.3,11.5,4.1,0,0.9,12.1,4,9.5,3.3,29.6,5.5,41,6.3,7.9,(X)
1400000U,06037575101,Census Tract 5751.01; Los Angeles County; California,4279,646,89.4,4.5,40.2,10.5,15.9,7.5,0.1,0.3,21.7,7.6,0,1,11.5,6.9,10.6,4.5,49.1,10.7,11.3,4.8,9.6,(X)
1400000U,06037575102,Census Tract 5751.02; Los Angeles County; California,4250,479,93.4,4.2,54.7,10.9,5.8,3,1.3,2.1,11.9,4.5,0,1,19.7,7.8,6.6,4.2,75.9,6.2,6.8,3.2,12.7,(X)
1400000U,06037575103,Census Tract 5751.03; Los Angeles County; California,5107,603,90.3,4.6,51.8,9.2,15.9,4.8,1.6,2.3,12.1,4.5,0.4,0.4,8.5,4.6,9.7,4.6,51.2,7.3,17.3,4.8,8.4,(X)
1400000U,06037575201,Census Tract 5752.01; Los Angeles County; California,4335,664,85.6,7.5,13,6.7,6.7,4,0.6,1,34.9,8.3,0,1,30.4,8.6,14.4,7.5,49.8,7.7,4.3,2.5,13.2,(X)
1400000U,06037575202,Census Tract 5752.02; Los Angeles County; California,4177,582,90.1,7.6,24.3,9.7,6.1,3.7,2.1,2.8,24.9,9.5,0.9,1.5,31.8,12.7,9.9,7.6,62.2,12.2,3.3,3.8,9.8,(X)
1400000U,06037575300,Census Tract 5753; Los Angeles County; California,4064,885,92.1,4.5,20.6,10.6,9,4,1.2,1.2,17.8,5.2,0,1,43.5,13.5,7.9,4.5,67.9,8.5,5.3,3.5,9.5,(X)
1400000U,06037575401,Census Tract 5754.01; Los Angeles County; California,4259,620,90.7,4.8,28.2,8.3,17.1,8.6,3,3.8,1.5,1.7,0,1,41,10.6,9.3,4.8,76.6,9.8,6,3.2,9.1,(X)
1400000U,06037575402,Census Tract 5754.02; Los Angeles County; California,3750,496,85,8.7,32.7,9.6,13.2,5.1,1.1,1.9,4.3,2.7,0,1.1,33.7,10.5,15,8.7,76.4,5.6,5.6,3.6,14.4,(X)
1400000U,06037575801,Census Tract 5758.01; Los Angeles County; California,2241,552,78,10.1,33.9,11.2,20.4,11.3,0.5,0.6,2.1,1.4,1.8,2.9,19.2,7.8,22,10.1,66,12.7,6.4,3.5,18.7,(X)
